SimpleFieldSearchExample
searching for e
Connecting to 50.19.46.133:8194
Sending Request: fieldSearchRequest = {
    searchSpec = "e"
    returnFieldDocumentation = false
}

FIELD ID     MNEMONIC                            DESCRIPTION                             
BE408        BEST_EPS_LO                         BEst EPS Low                            
BE407        BEST_EPS_HI                         BEst EPS High                           
PX162        EQY_WEIGHTED_AVG_PX_SEC             Vwap (Vol Wgt Avg Price - SEC Rule 10b-18)
IN134        EST_DEBT_EBITDA_NEXT_YR_AGGTE       Estimated Net Debt/EBITDA Next Year Aggte
DS436        EQY_EMPLOYEE_NUM                    Number of Employees                     
CF227        CF_CASH_&_CASH_EQUIV_END_BAL        Cash & Cash Equivalents - End Balance   
A1102        ARD_NET_PREMIUMS_EARN_NON_LIFE      ARD Net Premiums Earned (Non-Life)      
A0837        ARD_IMPAIRMENT_OF_RE_ASSETS         ARD Impairment of Real Estate Assets    
BE400        BEST_EPS_CHG                        BEst EPS Change                         
R3133        ARDR_GAIN_DISP_PROP_PLANT_EQUIP     ARD Ref Gain On Disposal Of Property/Plant/Equip
DZ401        ULTIMATE_BORROWER_BD_TO_EQTY_TKR    Ultimate Borrower Bond to Equity Ticker 
EZ003        BEST_EEPS_NXT_YR                    Est EPS Next Year                       
RR441        EARN_FOR_COM_GROWTH                 Earnings for Common Shareholders- 1 Yr Growth
RR555        EBITDA_PER_SH                       EBITDA per Share                        
IS155        CASH_EPS                            Cash EPS                                
A0821        ARD_RE_TAX_EXP                      ARD Real Estate Tax Expense             
RR274        REINVEST_EARN                       Reinvested Earnings                     
BS095        BS_TOT_EQY                          Total Equity/Partnership Capital        
CV055        CV_EXCH_RT_EQY_BOND                 Cross Exchange Rate Eqty/Bond           
DV022        EQY_DVD_SH_12M_NET                  Dividend Per Share 12 Month (Net)       
BE410        BEST_EPS_4WK_UP                     BEst EPS 4 wk Up                        
HT063        EQY_DAYS_UP_DOWN                    Consecutive Days Up/Down                
DV011        EQY_DPS_GROSS_5YR_GROWTH            Dividend Gross 5yr Growth Rate          
BE411        BEST_EPS_4WK_DN                     BEst EPS 4 wk Down                      
IS046        IS_INC_UNCONS_EQTY_INT              Income From Uncons Equity Int           
RR046        COM_EQY_TO_TOT_CAP                  Common Equity to Total Capital          
CF224        CF_CASH_&_CASH_EQUIV_BEG_BAL        Cash & Cash Equivalents - Beginning Balance
RR119        CAP_EXPEND_PER_RE                   Capital Expenditures/Real Esta          
DV041        EQY_DVD_STK_PAY_DT_NEXT             Next Stock Dividend Pay Date            
AN012        MTG_BEEM                            Mtge BEEM                               
A0115        ARD_OTHER_EQUITY                    ARD Other Equity                        
BE409        BEST_EPS_NUMEST                     BEst EPS # Ests                         
PX196        PX_SETTLE_E_MINI_ACTUAL             Settlement Price (E-mini Actual)        
